Date,Title,Link,Full_Text
"September 17, 2026",Where to find Southern Environmental Law Center experts during Climate WeekNYC,https://www.selc.org/press-release/where-to-find-southern-environmental-law-center-experts-during-climate-week-nyc/,"






september 17, 2026

          where to find southern environmental law center experts during climate week 
          nyc   














washington – southern environmental law center’s experts will be participating in multiple events during climate week nyc 2026, in addition to selc’s “step into the south” program held on september...

"
"September 15, 2026",The Southern Environmental Law Center Announces Panelists for Climate Week NYC 2026 “Step into theSouth”,https://www.selc.org/press-release/the-southern-environmental-law-center-announces-panelists-for-climate-week-nyc-2026-step-into-the-south/,"






september 15, 2026

          the southern environmental law center announces panelists for climate week nyc 2026 “step into the 
          south” 














washington – the southern environmental law center (selc), the largest nonprofit, nonpartisan environmental legal advocacy organization rooted in and focused on the u.s. south, announced today panelists for its one-day public event during ...

"
"September 14, 2026","EPA Repeals Power Plant rules as Southern utilities plan to build 43,000 MWs of newgas",https://www.selc.org/press-release/epa-repeals-power-plant-rules-as-southern-utilities-plan-to-build-43000-mws-of-new-gas/,"






september 14, 2026

          epa repeals power plant rules as southern utilities plan to build 43,000 mws of new 
          gas  














washington – as the southeast is currently facing a massive gas build-out, the environmental protection agency (epa) released a final rule today, repealing carbon pollution standards for fossil-fueled power plants, a main contributor to...

"
"September 9, 2026",Communities face greater flood risk if HUD rolls backprotections,https://www.selc.org/press-release/communities-face-greater-flood-risk-if-hud-rolls-back-protections/,"






september 9, 2026

          communities face greater flood risk if hud rolls back 
          protections  














washington, d.c. — the current administration in dc continues to ignore community needs and commonsense resilience solutions, with its attempt to roll back a 2024 rule designed to reduce flood risk for affordable housing.  ...

"
"September 4, 2026","Different words, same result: New proposed rule would slash protections for wetlands andstreams",https://www.selc.org/press-release/different-words-same-result-new-proposed-rule-would-slash-protections-for-wetlands-and-streams/,"






september 4, 2026

          different words, same result: new proposed rule would slash protections for wetlands and 
          streams 














water and wetlands protection further rolled back in latest proposal washington — today, the u.s. environmental protection agency and u.s. army corps of engineers released a supplemental proposed rule for “waters of the united...

"
"August 25, 2026",Appeals Court Gives FERC a Free Pass on CP2 LNG ExportTerminal,https://www.selc.org/press-release/appeals-court-gives-ferc-a-free-pass-on-cp2-lng-export-terminal/,"






august 25, 2026

          appeals court gives ferc a free pass on cp2 lng export 
          terminal   














washington, d.c. —  today, the u.s. court of appeals for the d.c. circuit upheld the federal energy regulatory commission (ferc)’s approval for venture global’s calcasieu pass 2 (cp2) lng export terminal, despite serious concerns with ferc’s...

"
"August 24, 2026",Coalition urges EPA to keep public participation requirements for airpermits,https://www.selc.org/press-release/coalition-urges-epa-to-keep-public-participation-requirements-for-air-permits/,"






august 24, 2026

          coalition urges epa to keep public participation requirements for air 
          permits 














washington – a coalition of nearly 200 environmental, health, and community groups filed comments late friday urging the u.s. environmental protection agency to withdraw its proposal to eliminate the minimum public participation requirements...

"
"August 18, 2026",U.S. Forest Service plows ahead with reckless plan to rescind RoadlessRule,https://www.selc.org/press-release/u-s-forest-service-plows-ahead-with-reckless-plan-to-rescind-roadless-rule/,"






august 18, 2026

          u.s. forest service plows ahead with reckless plan to rescind roadless 
          rule 














washington d.c. — today, u.s. secretary of agriculture brooke rollins announced the u.s. forest service is moving forward with its proposal to get rid of the roadless rule despite the widespread support for...

"
"July 30, 2026","Federal government’s settlement seeks to shield Chemours from consequences of its PFAS pollution and abandons communities, saysSELC",https://www.selc.org/press-release/federal-governments-settlement-seeks-to-shield-chemours-from-consequences-of-its-pfas-pollution-and-abandons-communities-says-selc/,"






july 30, 2026

          federal government’s settlement seeks to shield chemours from consequences of its pfas pollution and abandons communities, says 
          selc 














chapel hill, n.c.— epa’s proposed settlement with chemours fails to hold the polluter accountable for its toxic pfas pollution, require comprehensive cleanup, or include court-enforceable protections against future pollution for north carolinians, according to...

"
"July 28, 2026",45 Public Interest organizations and landowners call on FERC to reject Gas Industry proposal to fast-track Major Projects with less transparency and publicscrutiny,https://www.selc.org/press-release/45-public-interest-organizations-and-landowners-call-on-ferc-to-reject-gas-industry-proposal-to-fast-track-major-projects-with-less-transparency-and-public-scru/,"






july 28, 2026

          45 public interest organizations and landowners call on ferc to reject gas industry proposal to fast-track major projects with less transparency and public 
          scrutiny  














washington – the southern environmental law center, earthjustice, environmental defense fund, and natural resources defense council, together with 41 additional national, regional, and community organizations and two individual landowners, filed comments today urging the federal...

"
